,loss,accuracy,val_loss,val_accuracy
0,2.862819194793701,0.1332174688577652,2.626237392425537,0.22976288199424744
1,2.306784152984619,0.3113178610801697,2.1455140113830566,0.34668847918510437
2,1.7986563444137573,0.4559860825538635,1.717829704284668,0.4848732650279999
3,1.3745054006576538,0.5752990245819092,1.4592273235321045,0.5596892833709717
4,1.0411300659179688,0.6817299127578735,1.2172701358795166,0.6345053315162659
5,0.7824767231941223,0.7677128911018372,1.0721852779388428,0.6786590218544006
6,0.607422411441803,0.819343626499176,0.9458742141723633,0.7224039435386658
7,0.4977806508541107,0.8460280299186707,0.8964791893959045,0.747342586517334
8,0.394561231136322,0.8815049529075623,0.8152955770492554,0.7591986656188965
9,0.3037819564342499,0.9060423374176025,0.8500224947929382,0.7669664621353149
10,0.2577345371246338,0.920253574848175,0.8553395867347717,0.7735077738761902
11,0.21213683485984802,0.9354871511459351,0.768958330154419,0.7886344790458679
12,0.19778594374656677,0.9395767450332642,0.7369669675827026,0.7996729612350464
13,0.17656250298023224,0.947653591632843,0.7769116163253784,0.7931316494941711
14,0.17745208740234375,0.9426438808441162,0.7221233248710632,0.8070318698883057
15,0.154496431350708,0.9522543549537659,0.8078781366348267,0.8094848990440369
16,0.13632582128047943,0.9588999152183533,0.8139728307723999,0.8049877285957336
17,0.1199270486831665,0.9622737765312195,0.6914450526237488,0.8254292607307434
18,0.1123284250497818,0.9645230770111084,0.7441322207450867,0.8254292607307434
19,0.13586492836475372,0.9577752947807312,0.7679186463356018,0.8107113838195801
20,0.12136425077915192,0.9609447121620178,0.7839521765708923,0.8192968368530273
21,0.09557567536830902,0.970043957233429,0.7680381536483765,0.8192968368530273
22,0.08682206273078918,0.9720887541770935,0.8363655209541321,0.8192968368530273
23,0.09886734187602997,0.969226062297821,0.6803544759750366,0.8417825102806091
24,0.09592755883932114,0.9691238403320312,0.7409765720367432,0.8372853398323059
